Question,Answer,Keywords,Category
"Do you offer student discounts?","Yes, we offer a 10% discount for students. Verify your student status on the checkout page to apply the discount.","student, discount","Discounts"
"Can I update my billing information?","Yes, you can update your billing information in the 'My Account' section of our website.","update, billing, information","Account"
"How do I know if my order has shipped?","Once your order has shipped, you will receive an email with a tracking number to monitor its status.","order, shipped, tracking","Shipping"
"Do you offer subscriptions for products?","Yes, we offer a subscription option for certain products like skincare or coffee.","subscription, products","Product Info"
"Is my personal information safe?","Yes, we prioritize your privacy. All personal information is encrypted and securely stored.","personal, information, privacy","Security"
"What should I do if I forgot my username?","If you've forgotten your username, please check your email for previous orders or contact customer support for assistance.","forgot username,support", "Account"
"What payment methods do you accept?","We accept major credit cards (Visa, MasterCard), PayPal and Apple Pay.","payment methods,paypal", "Payments"
"Can I change my order after it's been placed?","Once an order is placed and confirmed it cannot be changed. Please contact customer service immediately if there’s an issue.","change order,support", "Support"
"What should I do if my package is lost in transit?","If your package is lost in transit please contact our customer service team for assistance with filing a claim.","lost package,support", "Shipping"
"Do you have a loyalty program?","Yes! We have a loyalty program that rewards points for every purchase which can be redeemed for discounts on future orders.","loyalty program,rewards", "Support"
"What are your business hours?","Our customer service team is available Monday through Friday from 9 AM to 5 PM EST.","business hours,support", "Support"
"Do you provide free shipping on orders over a certain amount?","Yes! We offer free shipping on orders over $50 within the continental US.","free shipping,promotions", "Shipping"
"What should I do if I receive the wrong item?","If you receive the wrong item please contact customer service within 7 days for assistance with a return or exchange.","wrong item,support", "Returns"
"Can I pick up my order in-store?","Currently we only offer shipping options and do not have in-store pickup available at this time.","in-store pickup,support", "Shipping"
"What happens if an item is out of stock after I've ordered it?","If an item becomes out of stock after you've ordered it we will notify you via email and provide options such as backorder or refund.","out of stock,support", "Shipping"
"Do you have size charts available for clothing items?","Yes! Size charts are available on each clothing product page to help you choose the right size.","size chart,sizing", "Product Info"
"What types of products do you sell?","We offer a wide variety of products including clothing, electronics and home goods. Visit our categories page for more details.","product types,categories", "Product Info"
"Can I use multiple discount codes on one order?","No. Only one discount code can be applied per order during checkout.","multiple discount codes,payments", "Payments"
"What should I do if my account is locked or suspended?","If your account is locked or suspended please contact our customer support team for assistance with unlocking it.","account locked,support", "Account"
"When will my credit card be charged after placing an order?","Your credit card will be charged at the time of purchase when you place your order successfully.","credit card charge,payments", "Payments"
"Are there any restrictions on international orders?","Yes. Certain items may have restrictions based on local laws and regulations in your country. Please check before ordering internationally.","international orders,restrictions", "Shipping"
"How can I unsubscribe from your newsletter?","You can unsubscribe from our newsletter by clicking the 'unsubscribe' link at the bottom of any email.","unsubscribe, newsletter","Support"
"Do you offer price matching?","Yes, we offer price matching for identical items found at a lower price from authorized retailers. Please contact customer service for details.","price matching,support","Pricing"
"What should I do if I have allergies to certain materials?","Please check the product description for material information. If you have specific concerns, contact customer service before purchasing.","allergies, materials","Product Info"
"Can I order a product that is currently out of stock?","If a product is out of stock, you can sign up for restock notifications to be alerted when it becomes available again.","out of stock, restock notifications","Product Info"
"How do I leave a review for a product?","To leave a review, go to the product page and scroll down to the review section. You can submit your feedback there.","leave review, feedback","Product Info"
"What if I receive an incorrect item in my order?","If you receive an incorrect item, please contact customer service within 7 days to arrange for a return or exchange.","incorrect item, return","Returns"
"Can I use my gift card with a discount code?","Yes, you can use your gift card along with a discount code during checkout.","gift card, discount code","Payments"
"Do you offer bulk purchase discounts?","Yes, we offer discounts for bulk purchases on select items. Please contact us for more information.","bulk purchase, discounts","Pricing"
"What is your policy on pre-orders?","Pre-orders require payment at the time of order and will ship as soon as the item is available. Check product pages for estimated ship dates.","pre-order, policy","Product Info"
"Are there any hidden fees when ordering internationally?","Customs duties and taxes may apply based on your country's regulations. These are not included in the order total at checkout.","international orders, fees","Shipping"
"How do I report a problem with my order?","If you encounter any issues with your order, please contact our customer service team for assistance.","report problem,support","Support"
"What should I do if my payment is declined?","If your payment is declined, please check your payment details or try a different payment method. If the issue persists, contact your bank.","payment declined,support","Payments"
"Can I change my account email address?","Yes! You can change your email address in the 'My Account' settings under 'Profile Information.'","change email,address account","Account"
"Do you offer installation services for certain products?","Currently, we do not offer installation services but provide detailed instructions with most products that require assembly.","installation services,support","Product Info"
"What are your shipping options?","We offer standard and expedited shipping options at checkout. Delivery times vary based on location and selected method.","shipping options,times","Shipping"
"How do I know if my order was successful?","You will receive an order confirmation email shortly after placing your order. If you don't see it, please check your spam folder.","order confirmation,email support","Support"
"Can I request a specific delivery date?","Unfortunately, we cannot guarantee specific delivery dates due to varying shipping times. However, you can choose expedited shipping for faster delivery.","delivery date,support","Shipping"
"Do you have a referral program?","Yes! You can earn rewards by referring friends to our store. Check our website for more details on how it works.","referral program,rewards","Support"
"What happens if I miss my delivery?","If you miss your delivery, the carrier will typically leave a notice with instructions on how to reschedule or pick up your package.","missed delivery,support","Shipping"
"Can I view my past orders?","Yes! You can view your past orders by logging into your account and navigating to the 'Order History' section.","view past orders,account history","Account"
"Do you sell used or refurbished items?","We primarily sell new items but occasionally offer certified refurbished products. Check individual product listings for details.","used items,refurbished products","Product Info"
"What should I do if I have trouble logging into my account?","If you're having trouble logging in, try resetting your password using the 'Forgot Password' link. If issues persist, contact support.","trouble logging in,support account","Account"
